 ,baseline,height,x,y,sigma_x,sigma_y,fwhm_x,fwhm_y,fwhm,error_baseline,error_height,error_x,error_y,error_sigma_x,error_sigma_y,error_fwhm_x,error_fwhm_y,error_fwhm,slice
11508,309.551,67.741,1182.103,1469.053,0.896,0.782,2.111,1.842,1.976,2.842,20.703,0.287,0.257,0.288,0.233,0.677,0.549,0.436,1
11509,313.990,37.792,1403.172,1479.958,1.196,1.578,2.817,3.715,3.266,3.864,13.401,0.424,0.559,0.488,0.636,1.150,1.498,0.944,1
11510,312.291,32.347,1288.096,1499.080,1.727,1.021,4.066,2.405,3.236,3.793,14.916,0.800,0.468,0.899,0.520,2.116,1.225,1.223,1
11511,307.438,81.156,213.210,1504.524,0.543,0.885,1.279,2.085,1.682,2.555,27.880,0.249,0.259,0.213,0.278,0.500,0.654,0.412,1
11512,316.258,35.306,1613.186,1514.693,2.194,1.075,5.166,2.530,3.848,3.248,10.161,0.642,0.303,0.761,0.357,1.791,0.841,0.989,1
11513,308.798,51.683,1659.849,1517.015,0.740,2.114,1.743,4.978,3.361,3.414,15.347,0.231,0.659,0.222,0.749,0.522,1.765,0.920,1
11514,314.600,33.695,390.580,1526.510,1.131,0.575,2.662,1.355,2.008,2.754,46.389,0.740,0.305,0.767,0.958,1.805,2.255,1.444,1
11515,313.360,75.846,549.446,1546.883,0.670,0.638,1.578,1.503,1.540,2.705,32.562,0.224,0.269,0.362,0.206,0.852,0.485,0.490,1
11516,310.068,42.762,152.010,1574.049,1.642,0.891,3.868,2.097,2.982,3.704,16.521,0.641,0.349,0.694,0.366,1.634,0.862,0.924,1
11517,307.642,69.909,607.556,1573.817,0.522,1.467,1.230,3.456,2.343,3.119,79.264,0.183,0.478,0.641,0.500,1.508,1.176,0.956,1
11518,322.585,64.052,1969.119,1586.185,1.559,2.778,3.671,6.542,5.106,6.060,9.423,0.214,0.457,0.330,0.640,0.776,1.508,0.848,1
11519,314.076,52.072,1611.588,1593.537,1.225,1.106,2.884,2.604,2.744,2.931,13.813,0.325,0.293,0.352,0.319,0.830,0.751,0.559,1
11520,303.474,57.761,2010.907,1593.616,0.897,0.860,2.111,2.024,2.068,2.684,19.252,0.299,0.283,0.300,0.309,0.706,0.727,0.507,1
11521,316.682,34.788,1031.501,1602.417,1.196,0.853,2.817,2.010,2.413,3.707,22.139,0.747,0.528,0.789,0.595,1.858,1.402,1.164,1
11522,310.677,71.925,1189.290,1608.438,0.806,0.840,1.898,1.978,1.938,2.932,23.455,0.254,0.262,0.270,0.293,0.636,0.689,0.469,1
11523,314.305,47.105,411.433,1627.163,0.798,1.034,1.878,2.435,2.157,2.675,18.918,0.302,0.399,0.358,0.415,0.842,0.977,0.645,1
11524,296.363,42.702,16.501,1628.157,1.272,1.079,2.996,2.542,2.769,2.898,13.497,0.402,0.341,0.437,0.371,1.028,0.873,0.675,1
11525,309.800,35.875,1362.701,1627.410,0.999,1.378,2.352,3.245,2.798,3.309,15.471,0.430,0.594,0.469,0.643,1.105,1.514,0.937,1
11526,307.529,51.204,968.825,1639.257,1.775,0.827,4.179,1.947,3.063,2.943,13.585,0.470,0.218,0.514,0.238,1.211,0.561,0.668,1
11527,311.402,83.676,2021.041,1656.808,0.846,0.589,1.993,1.388,1.690,2.574,23.774,0.243,0.216,0.232,0.182,0.546,0.430,0.348,1
11528,310.827,45.703,1302.383,1688.278,0.971,1.368,2.286,3.221,2.754,3.783,18.191,0.385,0.543,0.422,0.586,0.993,1.381,0.850,1
11529,308.135,45.704,1983.891,1689.645,1.061,0.509,2.499,1.199,1.849,2.945,72.916,0.627,0.536,0.643,0.879,1.513,2.069,1.282,1
11530,309.085,40.036,1833.783,1690.714,0.825,1.186,1.943,2.792,2.368,2.775,16.754,0.349,0.498,0.360,0.525,0.848,1.236,0.749,1
11531,312.369,42.082,1509.445,1700.783,1.175,1.143,2.767,2.692,2.730,3.310,15.683,0.438,0.426,0.475,0.462,1.119,1.088,0.780,1
11532,311.210,45.711,1326.270,1706.254,0.760,1.144,1.788,2.694,2.241,3.405,22.654,0.375,0.560,0.401,0.586,0.945,1.379,0.836,1
11533,309.654,53.295,1212.780,1708.083,1.009,0.852,2.376,2.007,2.192,2.657,17.375,0.334,0.285,0.349,0.281,0.821,0.661,0.527,1
11534,304.976,32.233,108.160,1739.313,1.365,1.409,3.214,3.319,3.266,4.267,14.466,0.612,0.632,0.707,0.726,1.664,1.709,1.193,1
11535,318.707,99.737,1637.940,1749.652,1.123,0.453,2.645,1.067,1.856,2.762,154.030,0.303,0.428,0.312,0.630,0.734,1.484,0.828,1
11536,319.422,36.224,814.759,1751.495,1.200,1.024,2.827,2.412,2.620,3.013,15.378,0.509,0.434,0.546,0.469,1.286,1.105,0.848,1
11537,320.310,46.505,1533.495,1752.897,1.930,0.783,4.546,1.844,3.195,3.657,16.279,0.694,0.286,0.758,0.279,1.786,0.656,0.951,1
11538,319.005,29.950,779.538,1785.628,1.171,1.021,2.758,2.405,2.581,3.569,18.619,0.727,0.634,0.779,0.682,1.833,1.606,1.219,1
11539,316.469,34.443,1101.723,1800.760,1.042,1.333,2.453,3.139,2.796,3.209,14.890,0.450,0.576,0.490,0.624,1.155,1.470,0.935,1
11540,312.838,47.229,1339.208,1804.457,0.667,1.060,1.571,2.496,2.033,2.629,19.683,0.305,0.444,0.287,0.460,0.676,1.084,0.639,1
11541,309.690,54.035,1690.073,1813.357,1.187,0.955,2.796,2.250,2.523,3.075,16.734,0.367,0.295,0.390,0.318,0.919,0.748,0.593,1
11542,311.145,44.645,1391.846,1815.526,0.800,0.989,1.884,2.329,2.107,2.937,20.317,0.375,0.456,0.365,0.480,0.859,1.129,0.709,1
11543,317.406,50.023,1774.368,1821.518,0.828,1.351,1.950,3.182,2.566,3.583,20.066,0.323,0.531,0.367,0.564,0.865,1.328,0.792,1
11544,291.360,65.884,7.356,1826.188,0.659,0.956,1.552,2.251,1.901,2.802,26.518,0.228,0.330,0.313,0.338,0.737,0.796,0.542,1
11545,299.083,34.879,172.601,1830.832,1.037,1.176,2.441,2.770,2.605,3.234,16.607,0.493,0.559,0.531,0.600,1.251,1.413,0.944,1
11546,315.621,62.068,1371.147,1844.934,0.792,0.749,1.866,1.765,1.815,2.646,20.890,0.290,0.281,0.276,0.244,0.649,0.576,0.434,1
11547,319.498,58.445,1861.878,1844.785,1.668,1.639,3.928,3.860,3.894,4.345,10.394,0.293,0.291,0.367,0.365,0.865,0.859,0.609,1
11548,308.584,35.066,501.526,1862.633,1.227,1.026,2.890,2.416,2.653,3.059,15.323,0.536,0.448,0.576,0.484,1.357,1.140,0.886,1
11549,314.221,65.991,1738.081,1877.727,0.703,0.912,1.656,2.148,1.902,3.100,23.488,0.285,0.343,0.235,0.355,0.552,0.835,0.501,1
11550,312.359,60.805,851.445,1894.139,0.655,1.016,1.543,2.392,1.968,2.764,27.997,0.213,0.361,0.373,0.372,0.880,0.875,0.620,1
11551,326.590,68.925,1720.575,1910.533,0.857,1.191,2.019,2.806,2.412,3.293,19.652,0.238,0.333,0.268,0.352,0.631,0.829,0.521,1
11552,296.852,47.627,297.032,1915.758,1.038,1.945,2.445,4.579,3.512,3.035,10.448,0.226,0.426,0.259,0.482,0.611,1.134,0.644,1
11553,302.542,62.323,1864.711,1962.749,1.474,2.549,3.471,6.003,4.737,5.103,10.374,0.244,0.642,0.320,0.774,0.755,1.822,0.986,1
11554,306.078,54.701,1017.711,1970.813,0.919,1.017,2.164,2.395,2.279,2.807,17.592,0.295,0.327,0.312,0.342,0.734,0.805,0.545,1
11555,306.983,45.618,1178.304,1976.658,1.411,1.167,3.322,2.748,3.035,3.270,13.028,0.403,0.333,0.447,0.372,1.053,0.877,0.685,1
11556,293.942,44.980,1846.400,1986.243,1.937,0.758,4.561,1.784,3.173,3.399,16.391,0.727,0.275,0.828,0.294,1.950,0.692,1.035,1
11557,313.759,57.268,1136.258,2014.447,1.198,1.919,2.822,4.518,3.670,4.200,12.466,0.259,0.417,0.309,0.486,0.728,1.145,0.679,1
11558,307.732,62.892,1738.171,2029.392,0.710,0.688,1.672,1.621,1.646,2.867,30.386,0.323,0.286,0.292,0.397,0.689,0.935,0.580,1
