 ,baseline,height,x,y,sigma_x,sigma_y,fwhm_x,fwhm_y,fwhm,error_baseline,error_height,error_x,error_y,error_sigma_x,error_sigma_y,error_fwhm_x,error_fwhm_y,error_fwhm,slice
1347,301.913,54.885,140.820,533.231,0.561,1.260,1.321,2.966,2.143,2.825,21.549,0.306,0.478,0.246,0.494,0.579,1.163,0.649,7
1348,296.639,46.348,139.704,556.657,1.307,1.023,3.078,2.409,2.743,3.444,16.422,0.463,0.362,0.501,0.394,1.179,0.928,0.750,7
1349,305.006,40.311,209.343,621.644,1.038,0.824,2.443,1.940,2.192,2.614,17.712,0.447,0.352,0.468,0.392,1.102,0.922,0.718,7
1350,305.750,56.291,1629.876,923.275,0.861,0.927,2.027,2.182,2.105,2.696,18.627,0.290,0.310,0.289,0.324,0.680,0.762,0.511,7
1351,297.218,69.793,2023.271,979.763,0.735,0.928,1.732,2.184,1.958,2.563,20.099,0.211,0.263,0.225,0.271,0.530,0.638,0.415,7
1352,311.353,40.808,1698.256,1035.731,1.088,1.121,2.561,2.640,2.600,3.020,15.494,0.413,0.426,0.443,0.457,1.043,1.076,0.749,7
1353,311.878,29.570,1231.724,1078.811,1.226,1.022,2.887,2.407,2.647,3.223,16.176,0.671,0.560,0.722,0.601,1.700,1.415,1.106,7
1354,313.495,52.239,1363.370,1090.055,0.617,1.296,1.452,3.052,2.252,3.163,29.660,0.269,0.545,0.430,0.569,1.012,1.339,0.839,7
1355,315.171,36.757,930.053,1109.691,1.245,1.738,2.931,4.093,3.512,3.564,10.828,0.365,0.511,0.436,0.595,1.026,1.401,0.868,7
1356,308.338,38.664,1173.935,1146.109,1.483,1.033,3.493,2.432,2.962,3.331,14.155,0.544,0.379,0.597,0.416,1.405,0.980,0.856,7
1357,312.162,56.807,505.769,1174.186,0.710,0.915,1.671,2.155,1.913,2.856,22.682,0.295,0.367,0.294,0.373,0.693,0.879,0.560,7
1358,304.760,39.237,90.895,1247.894,0.883,1.339,2.080,3.154,2.617,3.123,16.330,0.373,0.563,0.384,0.601,0.905,1.415,0.840,7
1359,303.377,49.199,1454.917,1293.337,1.211,1.939,2.851,4.566,3.708,3.892,11.200,0.273,0.441,0.331,0.516,0.779,1.216,0.722,7
